"Total energy consumption, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,
MN,723031,728237,766680,775637,816048,865284,922187,929413,991475,1081915,1107892,1148516,1209799,1257708,1237566,1246041,1293627,1257346,1350594,1350455,1224226,1176563,1187287,1190390,1251746,1258254,1245900,1251390,1355217,1392696,1409665,1434833,1442310,1486122,1522324,1612469,1685217,1653900,1624327,1700105,1749107,1720944,1785661,1863727,1863445,1871803,1843501,1896785,1913253,1786176,1863129,1856980,1818010,1867561,1923402,1790246,1812719,1833949,1913919,,,,,,,,,,,,,,,,,,,,,,,,
MO,899857,898673,939806,954239,989314,1043038,1102147,1132505,1211237,1265602,1309269,1326842,1383498,1418725,1399043,1412553,1471585,1505717,1556126,1530220,1422627,1364588,1361929,1364968,1382791,1405803,1407765,1430886,1500220,1511766,1506669,1540305,1532026,1645347,1658124,1717666,1804740,1802761,1849558,1890358,1831457,1864062,1878573,1883450,1894079,1982290,1967681,1985695,1948878,1845179,1914750,1858946,1781389,1844957,1906051,1822804,1766509,1725991,1847810,,,,,,,,,,,,,,,,,,,,,,,,
MS,404939,411387,438300,473278,513324,511644,566410,579960,645521,684793,746912,786107,830744,847974,817314,771990,778923,819170,849268,877571,833876,817881,814290,819939,858698,837167,846367,868802,917601,959292,1019810,1042158,1067309,1076443,1093733,1120526,1148611,1148411,1141236,1238413,1245835,1132667,1174307,1206235,1209335,1175656,1211461,1225189,1166061,1111703,1179945,1157923,1144981,1139813,1159665,1138118,1162204,1177754,1192670,,,,,,,,,,,,,,,,,,,,,,,,
MT,227460,241691,248275,252510,263813,258824,275598,260368,280467,314298,322784,333934,342383,347660,351944,345409,365130,361105,383374,397177,360216,337187,316999,323449,359490,370198,352552,329241,341806,351807,350590,355349,349443,367830,371882,391902,397805,367605,391347,395931,410631,357848,381613,379721,401702,422087,441656,469914,456670,427247,403991,403202,396061,406659,405407,404183,405461,421233,435230,,,,,,,,,,,,,,,,,,,,,,,,
NC,826470,858960,902745,930073,967053,1000435,1089558,1137963,1211104,1281029,1342676,1403918,1480269,1551096,1501847,1458782,1558503,1633866,1665364,1730521,1667382,1629516,1592073,1668995,1800225,1797051,1879993,1966269,2044646,2064537,2064098,2053070,2146014,2234705,2242614,2361657,2449409,2428449,2474626,2494294,2612315,2551460,2575450,2594352,2668617,2702237,2650024,2686309,2698574,2557016,2695293,2569759,2488745,2537491,2570541,2535054,2547783,2503747,2616133,,,,,,,,,,,,,,,,,,,,,,,,
ND,159415,154763,164872,170619,172006,169405,180786,185106,191968,192560,191117,195302,203742,202197,204358,206515,210442,210359,230012,237989,222373,236161,234682,230477,259557,300438,303900,302940,306556,319110,312939,322894,329126,332142,342000,350175,353238,359732,347752,375585,381565,407370,401218,400838,404459,409142,416023,437978,444397,435055,476758,529749,553580,596096,644962,612497,586817,631766,660959,,,,,,,,,,,,,,,,,,,,,,,,
NE,307836,314944,327421,334977,347076,348616,389146,385223,422750,455912,487481,496173,509525,522129,518540,525658,554831,556876,556658,545126,507068,477613,492029,502801,506451,499912,482525,495732,535116,533925,533802,542836,531594,560302,585367,613636,644490,658015,674687,664584,667989,664390,675942,685709,697628,704826,721474,757842,796063,778869,861588,863554,853545,872672,870152,853843,868334,876119,914565,,,,,,,,,,,,,,,,,,,,,,,,
NH,112158,119931,128225,133691,133091,131247,144764,149526,159459,176217,186601,201058,212305,216617,206500,201882,226976,230352,233236,210760,208260,200294,201336,204533,224289,233475,252309,273261,273541,272775,267260,253893,261635,261384,264573,267526,279664,279217,282000,292260,309761,306523,316339,325619,332093,326092,307906,309086,301470,297987,297202,295370,285521,303940,312020,314894,305784,317213,324693,,,,,,,,,,,,,,,,,,,,,,,,
NJ,1301938,1361749,1460847,1501224,1538414,1569751,1667786,1768292,1841016,1896202,1977939,1970817,2079998,2122047,1981582,1883779,2070578,2005608,2020375,2032650,2042226,2026137,2064991,2087571,2184942,2137379,2200878,2276016,2293960,2354787,2262859,2290891,2372206,2381585,2491674,2487294,2488069,2502225,2459982,2574684,2483350,2458361,2491243,2520182,2564633,2659566,2541933,2666626,2594260,2372781,2411760,2425250,2249662,2313455,2351525,2295158,2213421,2136414,2240709,,,,,,,,,,,,,,,,,,,,,,,,
NM,328439,340085,376092,370467,365774,353197,375974,407731,436306,429135,458694,469511,501736,477784,476488,459396,508860,473306,475173,480612,480615,472741,465226,472744,474648,466444,454881,485504,510363,535009,597445,590778,587579,602796,590989,582688,605377,644523,636391,640158,662696,661741,659860,661104,685076,685556,692403,715812,677716,644532,652051,670413,667368,670625,680425,680112,672717,683321,702827,,,,,,,,,,,,,,,,,,,,,,,,
